name,link,gender,age,nationality,born,place_of_birth,year,died,category,country
,,,, Chemistry,https://en.wikipedia.org/wiki/Alfred_Werner,Alfred Werner*, 1913,,,
,,,, Literature,https://en.wikipedia.org/wiki/Romain_Rolland,Romain Rolland, 1915,,,
,,,, Peace,https://en.wikipedia.org/wiki/L%C3%A9on_Bourgeois,Léon Bourgeois, 1920,,,
,,,, Literature,https://en.wikipedia.org/wiki/Anatole_France,Anatole France, 1921,,,
,,,, Physics,https://en.wikipedia.org/wiki/Jean_Baptiste_Perrin,Jean Baptiste Perrin, 1926,,,
,,,, Peace,https://en.wikipedia.org/wiki/Aristide_Briand,Aristide Briand, 1926,,,
,,,, Peace,https://en.wikipedia.org/wiki/Ferdinand_Buisson,Ferdinand Buisson, 1927,,,
,,,, Literature,https://en.wikipedia.org/wiki/Henri_Bergson,Henri Bergson, 1927,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Charles_Nicolle,Charles Nicolle, 1928,,,
,,,, Physics,https://en.wikipedia.org/wiki/Louis_de_Broglie,Louis de Broglie, 1929,,,
,,,, Literature,https://en.wikipedia.org/wiki/Ivan_Bunin,Ivan Bunin, 1933,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie,Irène Joliot-Curie, 1935,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,Frédéric Joliot-Curie, 1935,,,
,,,, Literature,https://en.wikipedia.org/wiki/Roger_Martin_du_Gard,Roger Martin du Gard, 1937,,,
,,,, Literature,https://en.wikipedia.org/wiki/Andr%C3%A9_Gide,André Gide, 1947,,,
,,,, Peace,https://en.wikipedia.org/wiki/L%C3%A9on_Jouhaux,Léon Jouhaux, 1951,,,
,,,, Peace,https://en.wikipedia.org/wiki/Albert_Schweitzer,Albert Schweitzer, 1952,,,
,,,, Literature,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mauriac,François Mauriac, 1952,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand,André Frédéric Cournand, 1956,,,
,,,, Literature,https://en.wikipedia.org/wiki/Albert_Camus,Albert Camus, 1957,,,
,,,, Literature,https://en.wikipedia.org/wiki/Saint-John_Perse,Saint-John Perse, 1960,,,
,,,, Literature,https://en.wikipedia.org/wiki/Jean-Paul_Sartre,Jean-Paul Sartre, 1964,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Andr%C3%A9_Michel_Lwoff,André Lwoff, 1965,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Jacques_Monod,Jacques Monod, 1965,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Jacob,François Jacob, 1965,,,
,,,, Physics,https://en.wikipedia.org/wiki/Alfred_Kastler,Alfred Kastler, 1966,,,
,,,, Peace,https://en.wikipedia.org/wiki/Ren%C3%A9_Cassin,René Cassin, 1968,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Luis_Federico_Leloir,Luis Federico Leloir*, 1970,,,
,,,, Physics,https://en.wikipedia.org/wiki/Louis_N%C3%A9el,Louis Néel, 1970,,,
,,,, Peace,https://en.wikipedia.org/wiki/Se%C3%A1n_MacBride,Seán MacBride*, 1974,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Roger_Guillemin,Roger Guillemin*, 1977,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Jean_Dausset,Jean Dausset, 1980,,,
,,,, Economics,https://en.wikipedia.org/wiki/G%C3%A9rard_Debreu,Gérard Debreu, 1983,,,
,,,, Literature,https://en.wikipedia.org/wiki/Claude_Simon,Claude Simon, 1985,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Jean-Marie_Lehn,Jean-Marie Lehn, 1987,,,
,,,, Economics,https://en.wikipedia.org/wiki/Maurice_Allais,Maurice Allais, 1988,,,
,,,, Physics,https://en.wikipedia.org/wiki/Pierre-Gilles_de_Gennes,Pierre-Gilles de Gennes, 1991,,,
,,,, Physics,https://en.wikipedia.org/wiki/Georges_Charpak,Georges Charpak, 1992,,,
,,,, Physics,https://en.wikipedia.org/wiki/Claude_Cohen-Tannoudji,Claude Cohen-Tannoudji, 1997,,,
,,,, Peace,https://en.wikipedia.org/wiki/M%C3%A9decins_Sans_Fronti%C3%A8res,Médecins Sans Frontières, 1999,,,
,,,, Literature,https://en.wikipedia.org/wiki/Gao_Xingjian,Gao Xingjian, 2000,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Yves_Chauvin,Yves Chauvin, 2005,,,
,,,, Physics,https://en.wikipedia.org/wiki/Albert_Fert,Albert Fert, 2007,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Fran%C3%A7oise_Barr%C3%A9-Sinoussi,Françoise Barré-Sinoussi, 2008,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Luc_Montagnier,Luc Montagnier, 2008,,,
,,,, Literature,https://en.wikipedia.org/wiki/J._M._G._Le_Cl%C3%A9zio,J. M. G. Le Clézio, 2008,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Jules_A._Hoffmann,Jules A. Hoffmann, 2011,,,
,,,, Physics,https://en.wikipedia.org/wiki/Serge_Haroche,Serge Haroche, 2012,,,
,,,, Literature,https://en.wikipedia.org/wiki/Patrick_Modiano,Patrick Modiano, 2014,,,
,,,, Economics,https://en.wikipedia.org/wiki/Jean_Tirole,Jean Tirole, 2014,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Jean-Pierre_Sauvage,Jean-Pierre Sauvage, 2016,,,
,,,, Literature,https://en.wikipedia.org/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4,Frans Eemil Sillanpää, 1939,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Artturi_Ilmari_Virtanen,Artturi Ilmari Virtanen, 1945,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Ragnar_Granit,Ragnar Granit, 1967,,,
,,,, Peace,https://en.wikipedia.org/wiki/Martti_Ahtisaari,Martti Ahtisaari, 2008,,,
,,,, Economics,https://en.wikipedia.org/wiki/Bengt_R._Holmstr%C3%B6m,Bengt R. Holmström, 2016,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen,Niels Ryberg Finsen*, 1903,,,
,,,, Peace,https://en.wikipedia.org/wiki/Anwar_Sadat,Anwar Sadat, 1978,,,
,,,, Literature,https://en.wikipedia.org/wiki/Naguib_Mahfouz,Naguib Mahfouz, 1988,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Ahmed_Zewail,Ahmed Zewail, 1999,,,
,,,, Peace,https://en.wikipedia.org/wiki/Mohamed_ElBaradei,Mohamed ElBaradei, 2005,,,
,,,, Peace,https://en.wikipedia.org/wiki/Jos%C3%A9_Ramos-Horta,José Ramos-Horta, 1996,,,
,,,, Peace,https://en.wikipedia.org/wiki/Carlos_Filipe_Ximenes_Belo,Carlos Filipe Ximenes Belo, 1996,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen,Niels Ryberg Finsen, 1903,,,
,,,, Peace,https://en.wikipedia.org/wiki/Fredrik_Bajer,Fredrik Bajer, 1908,,,
,,,, Literature,https://en.wikipedia.org/wiki/Henrik_Pontoppidan,Henrik Pontoppidan, 1917,,,
,,,, Literature,https://en.wikipedia.org/wiki/Karl_Adolph_Gjellerup,Karl Adolph Gjellerup, 1917,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/August_Krogh,August Krogh, 1920,,,
,,,, Physics,https://en.wikipedia.org/wiki/Niels_Bohr,Niels Bohr, 1922,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Johannes_Fibiger,Johannes Fibiger, 1926,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Henrik_Dam,Henrik Dam, 1943,,,
,,,, Literature,https://en.wikipedia.org/wiki/Johannes_V._Jensen,Johannes V. Jensen, 1944,,,
,,,, Physics,https://en.wikipedia.org/wiki/Ben_Roy_Mottelson,Ben Roy Mottelson, 1975,,,
,,,, Physics,https://en.wikipedia.org/wiki/Aage_Bohr,Aage Bohr, 1975,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Niels_Kaj_Jerne,Niels Kaj Jerne, 1984,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Jens_Christian_Skou,Jens Christian Skou, 1997,,,
,,,, Peace,https://en.wikipedia.org/wiki/Bertha_von_Suttner,Bertha von Suttner*, 1905,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Gerty_Cori,Gerty Cori*, 1947,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Carl_Ferdinand_Cori,Carl Ferdinand Cori*, 1947,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Jaroslav_Heyrovsk%C3%BD,Jaroslav Heyrovský, 1959,,,
,,,, Literature,https://en.wikipedia.org/wiki/Jaroslav_Seifert,Jaroslav Seifert, 1984,,,
,,,, Economics,https://en.wikipedia.org/wiki/Christopher_A._Pissarides,Christopher A. Pissarides, 2010,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Leopold_Ru%C5%BEi%C4%8Dka,Leopold Ružička*, 1939,,,
,,,, Peace,https://en.wikipedia.org/wiki/%C3%93scar_Arias,Óscar Arias Sánchez, 1987,,,
,,,, Literature,https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,Gabriel García Márquez, 1982,,,
,,,, Peace,https://en.wikipedia.org/wiki/Juan_Manuel_Santos,Juan Manuel Santos, 2016,,,
,,,, Physics,https://en.wikipedia.org/wiki/Walter_Houser_Brattain,Walter Houser Brattain*, 1956,,,
,,,, Physics,https://en.wikipedia.org/wiki/Tsung-Dao_Lee,Tsung-Dao Lee*, 1957,,,
,,,, Physics,https://en.wikipedia.org/wiki/Chen-Ning_Yang,Chen-Ning Yang*, 1957,,,
,,,, Peace,https://en.wikipedia.org/wiki/14th_Dalai_Lama,14th Dalai Lama*, 1989,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Edmond_H._Fischer,Edmond H. Fischer*, 1992,,,
,,,, Physics,https://en.wikipedia.org/wiki/Daniel_C._Tsui,Daniel C. Tsui*, 1998,,,
,,,, Literature,https://en.wikipedia.org/wiki/Gao_Xingjian,Gao Xingjian*, 2000,,,
,,,, Physics,https://en.wikipedia.org/wiki/Charles_K._Kao,Charles K. Kao*, 2009,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Ei-ichi_Negishi,Ei-ichi Negishi*, 2010,,,
,,,, Peace,https://en.wikipedia.org/wiki/Liu_Xiaobo,Liu Xiaobo, 2010,,,
,,,, Literature,https://en.wikipedia.org/wiki/Mo_Yan,Mo Yan, 2012,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Tu_Youyou,Tu Youyou, 2015,,,
,,,, Literature,https://en.wikipedia.org/wiki/Gabriela_Mistral,Gabriela Mistral, 1945,,,
,,,, Literature,https://en.wikipedia.org/wiki/Pablo_Neruda,Pablo Neruda, 1971,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Ernest_Rutherford,Ernest Rutherford*, 1908,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/John_Macleod_(physiologist),John James Rickard Macleod, 1923,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Frederick_Banting,Frederick G. Banting, 1923,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/William_Giauque,William Giauque*, 1949,,,
,,,, Peace,https://en.wikipedia.org/wiki/Lester_B._Pearson,Lester B. Pearson, 1957,,,
,,,, Physiology or Medicine,https://en.wikipedia.org/wiki/Charles_Brenton_Huggins,Charles B. Huggins*, 1966,,,
,,,, Chemistry,https://en.wikipedia.org/wiki/Gerhard_Herzberg,Gerhard Herzberg, 1971,,,
,,,, Literature,https://en.wikipedia.org/wiki/Saul_Bellow,Saul Bellow*, 1976,,,
,,,, Physics,https://en.wikipedia.org/wiki/Zhores_Alferov,Zhores Alferov*, 2000,,,
